texto,opcionA,opcionB,opcionC,opcionD,correcta,nivel,valor
¿Cuál es el primer paso en caso de emergencia o evacuación?,Correr hacia la salida más cercana,Identificar la ruta de evacuación y seguir las señales,Esperar instrucciones del jefe,Usar el ascensor,B,1,100
¿Qué significa la sigla EPP?,Equipo de Protección Personal,Elemento de Prevención Primaria,Equipo de Protección Preventiva,Elemento de Protección Permanente,A,1,100
¿A qué altura se considera trabajo en alturas según la normativa colombiana?,Más de 1.2 metros,Más de 1.5 metros,Más de 1.8 metros,Más de 2.0 metros,B,2,200
¿Cuál es el color del extintor para fuegos tipo A (sólidos)?,Rojo,Verde,Amarillo,Azul,A,1,100
¿Qué hacer si detecta un derrame de sustancia química?,Ignorarlo si es pequeño,Reportar de inmediato y evacuar el área si es necesario,Intentar limpiarlo solo,Esperar a que se evapore,B,2,200
¿Cuántos pasos tiene la metodología de los 5 pasos para identificar peligros?,3,4,5,6,C,1,100
¿Qué tipo de fuego NO se debe apagar con agua?,Tipo A (sólidos),Tipo B (líquidos inflamables),Tipo C (eléctricos),Tipo B y C,D,2,200
¿Cuál es la posición correcta para realizar RCP en un adulto?,Sobre el estómago,De lado,Lateral con cabeza inclinada,Boca arriba en superficie firme,D,2,200
¿Qué indica una señal de seguridad de color verde?,Peligro,Prohibición,Información de seguridad o evacuación,Precaución,C,1,100
¿Cuál es la distancia mínima de seguridad al manipular cargas manualmente según ergonomía?,Menos de 25 cm,Entre 25 y 40 cm,Más de 40 cm,No importa la distancia,B,2,200
¿Qué debe hacer antes de realizar trabajo en caliente (soldadura/corte)?,Comenzar de inmediato,Solicitar permiso de trabajo en caliente y verificar zona segura,Usar solo gafas,Avisar solo al compañero,B,3,300
¿A qué se refiere el principio de las 5 S en seguridad?,5 sustancias peligrosas,Clasificar ordenar limpiar estandarizar y sostener,5 tipos de extintores,5 niveles de riesgo,B,2,200
